date,ticker
2017-03-31,SBSP3
2017-03-31,SUZB3
2017-03-31,TIMS3
2017-03-31,UGPA3
2017-03-31,USIM5
2017-03-31,VALE3
2017-03-31,VALE5
2017-03-31,VIVT3
2017-03-31,WEGE3
2017-03-31,YDUQ3
2017-04-30,ABEV3
2017-04-30,AMER3
2017-04-30,B3SA3
2017-04-30,BBAS3
2017-04-30,BBDC3
2017-04-30,BBDC4
2017-04-30,BBSE3
2017-04-30,BRAP4
2017-04-30,BRFS3
2017-04-30,BRKM5
2017-04-30,BRML3
2017-04-30,CCRO3
2017-04-30,CIEL3
2017-04-30,CMIG4
2017-04-30,COGN3
2017-04-30,CPFE3
2017-04-30,CPLE6
2017-04-30,CSAN3
2017-04-30,CSNA3
2017-04-30,CYRE3
2017-04-30,ECOR3
2017-04-30,EGIE3
2017-04-30,ELET3
2017-04-30,EMBR3
2017-04-30,ENBR3
2017-04-30,EQTL3
2017-04-30,FIBR3
2017-04-30,GGBR4
2017-04-30,GOAU4
2017-04-30,GOLL4
2017-04-30,HYPE3
2017-04-30,ITSA4
2017-04-30,ITUB4
2017-04-30,JBSS3
2017-04-30,KLBN11
2017-04-30,LREN3
2017-04-30,MRFG3
2017-04-30,MRVE3
2017-04-30,MULT3
2017-04-30,NTCO3
2017-04-30,PCAR3
2017-04-30,PETR3
2017-04-30,PETR4
2017-04-30,QUAL3
2017-04-30,RADL3
2017-04-30,RAIL3
2017-04-30,RENT3
2017-04-30,SANB11
2017-04-30,SBSP3
2017-04-30,SUZB3
2017-04-30,TIMS3
2017-04-30,UGPA3
2017-04-30,USIM5
2017-04-30,VALE3
2017-04-30,VALE5
2017-04-30,VIVT3
2017-04-30,WEGE3
2017-04-30,YDUQ3
2017-05-31,ABEV3
2017-05-31,AMER3
2017-05-31,B3SA3
2017-05-31,BBAS3
2017-05-31,BBDC3
2017-05-31,BBDC4
2017-05-31,BBSE3
2017-05-31,BRAP4
2017-05-31,BRFS3
2017-05-31,BRKM5
2017-05-31,BRML3
2017-05-31,CCRO3
2017-05-31,CIEL3
2017-05-31,CMIG4
2017-05-31,COGN3
2017-05-31,CPFE3
2017-05-31,CPLE6
2017-05-31,CSAN3
2017-05-31,CSNA3
2017-05-31,CYRE3
2017-05-31,ECOR3
2017-05-31,EGIE3
2017-05-31,ELET3
2017-05-31,ELET6
2017-05-31,EMBR3
2017-05-31,ENBR3
2017-05-31,EQTL3
2017-05-31,FIBR3
2017-05-31,GGBR4
2017-05-31,GOAU4
2017-05-31,GOLL4
2017-05-31,HYPE3
2017-05-31,ITSA4
2017-05-31,ITUB4
2017-05-31,JBSS3
2017-05-31,KLBN11
2017-05-31,LREN3
2017-05-31,MRFG3
2017-05-31,MRVE3
2017-05-31,MULT3
2017-05-31,NTCO3
2017-05-31,PCAR3
2017-05-31,PETR3
2017-05-31,PETR4
2017-05-31,QUAL3
2017-05-31,RADL3
2017-05-31,RAIL3
2017-05-31,RENT3
2017-05-31,SANB11
2017-05-31,SBSP3
2017-05-31,SUZB3
2017-05-31,TIMS3
2017-05-31,UGPA3
2017-05-31,USIM5
2017-05-31,VALE3
2017-05-31,VALE5
2017-05-31,VIVT3
2017-05-31,WEGE3
2017-05-31,YDUQ3
2017-06-30,ABEV3
2017-06-30,AMER3
